latiude,longitude
34.594892,135.4824
34.492819,135.414131
34.403586,135.314869
34.492839,135.414133
34.584397,135.514886
34.510486,135.400892
34.510483,135.400903
34.510508,135.400914
34.510506,135.400878
34.510506,135.400861
34.510503,135.400869
34.510508,135.400894
34.510508,135.400894
34.492908,135.414142
34.605733,135.498469
34.976344,135.945161
33.88645,130.872983
33.886511,130.872467
33.886308,130.87295
33.885967,130.872417
33.886275,130.872808
33.886292,130.872939
33.88635,130.873044
33.886322,130.873114
33.886103,130.872731
33.886392,130.873017
33.886253,130.872953
33.886556,130.872786
33.886369,130.873022
37.050344,140.875808
38.228733,140.889453
31.571158,130.560856
31.570833,130.560856
31.744903,130.762642
31.588825,130.547181
31.592211,130.560781
31.542253,130.542514
31.710375,130.782861
31.744869,130.762747
31.752942,131.079783
31.715211,130.618281
31.551394,130.547992
31.5514,130.547972
31.551392,130.548
31.588908,130.547256
31.571078,130.561211
31.588944,130.547114
31.588853,130.547164
31.587222,130.562333
34.805719,135.504758
34.805603,135.504506
34.805603,135.504506
34.805731,135.504747
35.197167,136.979514
34.805722,135.504781
34.805681,135.504756
35.3437,137.142169
35.343717,137.142156
35.343717,137.142156
35.343697,137.142233
35.343697,137.142233
35.343697,137.142233
35.343697,137.142233
35.343706,137.142222
35.343811,137.142672
35.343672,137.142333
35.343767,137.142203
35.34375,137.142181
35.343578,137.142286
35.343578,137.142286
35.343769,137.142222
34.843208,137.749158
34.843239,137.749172
35.154575,138.805139
34.839892,137.749978
35.173506,137.533717
35.173514,137.533742
34.917644,137.533931
34.925194,137.513053
35.343722,137.142178
35.343761,137.142203
37.863303,138.997567
37.867547,139.082936
37.920861,139.077983
37.920872,139.077992
37.911483,139.049575
37.945333,139.092078
37.920878,139.077975
37.920881,139.077989
37.945336,139.091994
37.945392,139.092022
37.920892,139.077986
37.920892,139.077986
37.920883,139.077922
37.353775,140.323458
37.055669,140.101294
37.535922,140.029947
37.920822,139.077975
37.920828,139.077886
37.537111,140.107478
37.537175,140.107494
37.537131,140.107533
31.592239,130.560781
36.565958,139.866836
34.779808,136.467575
35.551598,139.786179
35.551598,139.786179
35.535133,139.533226
35.324623,139.440147
35.313995,138.968315
35.551582,139.786171
35.590034,139.556213
35.455542,139.642022
35.940895,139.967934
35.93998,139.969826
35.160362,138.659164
35.656334,140.025841
35.656357,140.025879
35.431938,139.402161
